epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6046,1.13469,1.43217,1.23582,0.64842,0.52239,0.61207,0.45372,1.0793,1.124,1.12858,8.33e-06,8.33e-06,8.33e-06
2,86.5046,1.10922,1.34058,1.23718,0.67684,0.54942,0.62734,0.46781,1.07256,1.09306,1.12236,1.69664e-05,1.69664e-05,1.69664e-05
3,123.234,1.19372,1.38762,1.23488,0.67598,0.57298,0.64264,0.47901,1.06544,1.07221,1.11849,2.46604e-05,2.46604e-05,2.46604e-05
4,158.626,1.16052,1.3029,1.21866,0.67025,0.59522,0.66117,0.49168,1.06012,1.04972,1.11299,3.14118e-05,3.14118e-05,3.14118e-05
5,193.335,1.10841,1.24058,1.20641,0.65964,0.62366,0.67076,0.50066,1.05276,1.02502,1.10879,3.72208e-05,3.72208e-05,3.72208e-05
6,230.945,1.12456,1.24003,1.20831,0.66626,0.63749,0.68381,0.51568,1.04233,0.99915,1.10297,4.20873e-05,4.20873e-05,4.20873e-05
7,268.623,1.08733,1.17698,1.17573,0.69227,0.62551,0.69178,0.52388,1.03497,0.97737,1.09817,4.60114e-05,4.60114e-05,4.60114e-05
8,305.46,1.11648,1.17433,1.18967,0.76199,0.60505,0.70401,0.53136,1.0291,0.9546,1.09391,4.89929e-05,4.89929e-05,4.89929e-05
9,342.478,1.0952,1.18112,1.1819,0.79083,0.62607,0.71659,0.54153,1.0157,0.93238,1.08683,5.1032e-05,5.1032e-05,5.1032e-05
10,380.005,1.10577,1.16581,1.18225,0.81067,0.62504,0.72459,0.54834,1.00785,0.91179,1.08179,5.21285e-05,5.21285e-05,5.21285e-05
11,416.602,1.08457,1.18585,1.1536,0.81546,0.6308,0.74177,0.55842,0.99854,0.89241,1.07363,5.22827e-05,5.22827e-05,5.22827e-05
12,453.101,1.10816,1.11434,1.14623,0.79911,0.64627,0.74947,0.56381,0.99395,0.88045,1.06952,5.14943e-05,5.14943e-05,5.14943e-05
13,489.315,1.06987,1.07367,1.14702,0.77322,0.66296,0.75532,0.56928,0.98952,0.87414,1.06574,4.8314e-05,4.8314e-05,4.8314e-05
14,524.658,1.05012,1.02151,1.11671,0.73105,0.69407,0.75917,0.57206,0.98378,0.87202,1.06201,4.24235e-05,4.24235e-05,4.24235e-05
15,563.005,1.04939,1.06455,1.1266,0.71977,0.71407,0.76058,0.57522,0.97812,0.86491,1.05727,3.6533e-05,3.6533e-05,3.6533e-05
16,605.142,1.05241,0.99896,1.12213,0.71307,0.72185,0.76364,0.58319,0.97519,0.85484,1.0547,3.06425e-05,3.06425e-05,3.06425e-05
17,645.64,1.02359,0.98296,1.1233,0.71352,0.72246,0.76453,0.58484,0.96964,0.84565,1.05104,2.4752e-05,2.4752e-05,2.4752e-05
18,684.843,1.05606,1.0259,1.1376,0.71907,0.71044,0.76792,0.58705,0.96473,0.83739,1.04825,1.88615e-05,1.88615e-05,1.88615e-05
19,721.498,1.02454,0.99841,1.11171,0.70967,0.71198,0.7688,0.58805,0.96156,0.8325,1.04647,1.2971e-05,1.2971e-05,1.2971e-05
20,760.919,1.03997,0.99074,1.13003,0.82345,0.6412,0.77022,0.58932,0.95981,0.82915,1.04542,7.0805e-06,7.0805e-06,7.0805e-06
